source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
ppgbp,bcg,scratch,35.64 \pm 7.63,11.04 \pm 3.65,8.03 \pm 4.26,25.86 \pm 6.41,13.97 \pm 5.31,5.92 \pm 1.95,7.54 \pm 1.28,9.15 \pm 4.64
ppgbp,bcg,zeroshot,13.42 \pm 4.67,16.32 \pm 12.59,25.01 \pm 16.43,38.15 \pm 20.57,11.1 \pm 2.94,8.55 \pm 5.51,11.11 \pm 4.48,13.52 \pm 9.87
ppgbp,ppgbp,zeroshot,39.71 \pm 8.35,16.95 \pm 7.66,15.66 \pm 16.49,31.94 \pm 21.91,21.78 \pm 7.9,8.46 \pm 4.16,10.13 \pm 7.19,17.69 \pm 9.56
ppgbp,sensors,fullfinetuning,35.32 \pm 2.38,14.09 \pm 2.52,8.11 \pm 1.7,33.72 \pm 3.16,6.88 \pm 1.9,5.28 \pm 0.83,6.54 \pm 0.22,11.67 \pm 1.51
ppgbp,sensors,linearprobing,37.88 \pm 4.78,16.57 \pm 4.33,8.46 \pm 0.73,31.9 \pm 4.36,6.9 \pm 2.45,5.49 \pm 1.41,6.89 \pm 0.4,12.16 \pm 1.64
ppgbp,sensors,scratch,39.59 \pm 5.7,16.81 \pm 3.32,10.0 \pm 1.26,30.42 \pm 4.55,8.23 \pm 3.51,5.76 \pm 1.43,6.7 \pm 0.47,11.49 \pm 1.49
ppgbp,sensors,zeroshot,34.56 \pm 15.89,21.6 \pm 4.39,19.58 \pm 14.26,37.73 \pm 18.12,18.08 \pm 8.35,13.96 \pm 5.15,11.02 \pm 1.78,11.41 \pm 1.84
sensors,bcg,fullfinetuning,33.38 \pm 4.74,12.55 \pm 4.21,8.35 \pm 2.79,24.63 \pm 5.85,15.38 \pm 2.2,5.79 \pm 1.05,7.37 \pm 0.57,7.04 \pm 3.26
sensors,bcg,linearprobing,35.94 \pm 10.76,10.49 \pm 3.85,9.03 \pm 2.38,25.19 \pm 9.93,13.45 \pm 5.89,6.46 \pm 2.02,7.98 \pm 1.53,11.53 \pm 5.97
sensors,bcg,scratch,32.54 \pm 7.08,9.64 \pm 0.99,9.77 \pm 4.47,30.93 \pm 6.07,11.97 \pm 4.01,6.56 \pm 0.75,8.37 \pm 1.58,10.79 \pm 3.5
sensors,bcg,zeroshot,43.55 \pm 8.17,15.92 \pm 3.42,7.36 \pm 0.87,19.14 \pm 7.52,3.39 \pm 1.34,10.44 \pm 2.78,14.94 \pm 1.63,20.43 \pm 4.42
sensors,ppgbp,fullfinetuning,38.15 \pm 4.53,13.82 \pm 3.01,7.94 \pm 0.95,33.32 \pm 3.3,19.71 \pm 6.1,5.62 \pm 0.64,7.03 \pm 0.74,15.87 \pm 2.27
sensors,ppgbp,linearprobing,37.17 \pm 2.18,14.56 \pm 2.1,9.61 \pm 1.7,31.39 \pm 1.07,20.0 \pm 7.26,6.43 \pm 1.37,7.71 \pm 0.54,15.23 \pm 1.55
sensors,ppgbp,scratch,40.41 \pm 5.32,15.26 \pm 1.7,7.26 \pm 1.04,31.75 \pm 3.57,21.22 \pm 5.8,6.59 \pm 1.32,6.7 \pm 0.64,15.14 \pm 1.7
sensors,ppgbp,zeroshot,52.05 \pm 9.4,29.98 \pm 2.12,10.24 \pm 2.19,17.66 \pm 3.17,10.0 \pm 3.02,7.26 \pm 0.96,12.9 \pm 0.57,23.6 \pm 2.96
sensors,sensors,zeroshot,50.73 \pm 2.02,32.01 \pm 1.7,13.86 \pm 1.13,12.46 \pm 1.83,8.47 \pm 0.92,6.27 \pm 0.85,6.3 \pm 0.38,10.02 \pm 1.0
